model,learning_rate,n_estimators,subsample,max_depth,colsample_bytree,fit_time_seconds,accuracy,f1,precision,recall,roc_auc,predict_time_seconds,num_leaves
XGBoost,0.1,300,0.8,3.0,0.8,0.08267509999859612,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9950396825396826,0.0012428999980329536,
XGBoost,0.1,300,0.8,3.0,1.0,0.08796399999846471,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9920634920634921,0.001312200001848396,
XGBoost,0.1,300,0.8,6.0,0.8,0.09430189999693539,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9957010582010581,0.001264999998966232,
XGBoost,0.1,300,0.8,6.0,1.0,0.09786620000522817,0.9649122807017544,0.972972972972973,0.9473684210526315,1.0,0.9957010582010581,0.0012605000010807998,
LightGBM,0.1,300,0.8,,0.8,0.05669530000159284,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9904100529100529,0.002358300000196323,15.0
LightGBM,0.1,300,0.8,,1.0,0.055900899998960085,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9890873015873016,0.0019590999945648946,15.0
LightGBM,0.1,300,0.8,,0.8,0.07305169999744976,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9894179894179894,0.002057799996691756,31.0
LightGBM,0.1,300,0.8,,1.0,0.07581840000057127,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259,0.0026932000037049875,31.0
LightGBM,0.1,300,0.8,,0.8,0.07385300000169082,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9894179894179894,0.0020143000001553446,63.0
LightGBM,0.1,300,0.8,,1.0,0.07643770000140648,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259,0.001991700002690777,63.0
XGBoost,0.1,300,1.0,3.0,0.8,0.08528520000254503,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9927248677248677,0.0012101999964215793,
XGBoost,0.1,300,1.0,3.0,1.0,0.08862299999600509,0.9649122807017544,0.972972972972973,0.9473684210526315,1.0,0.9917328042328042,0.0012582999988808297,
XGBoost,0.1,300,1.0,6.0,0.8,0.0948359000030905,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9943783068783069,0.0012342999980319291,
XGBoost,0.1,300,1.0,6.0,1.0,0.10200869999971474,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9917328042328042,0.0012446999971871264,
LightGBM,0.1,300,1.0,,0.8,0.055731799999193754,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9904100529100529,0.0023686000058660284,15.0
